fid,name,lat,lon,utm54_x,utm54_y
1,F01,41.945277779999998,140.545177800000005,462309.551,4643824.670
2,F02,41.944338889999997,140.544683300000003,462258.867,4643696.501
3,F03,41.944008330000003,140.544736099999994,462260.601,4643648.582
4,F04,41.943525000000001,140.544752799999998,462263.748,4643599.466
5,F05,41.946511110000003,140.545388900000006,462318.633,4643937.368
6,F06,41.946552779999998,140.545388900000006,462318.658,4643941.995
7,F07,41.946730559999999,140.545444400000008,462323.363,4643961.709
8,F08,41.946711110000003,140.545438899999994,462316.343,4643958.558
9,F09,41.946786109999998,140.545536099999993,462340.362,4643965.681
10,F10,41.947366670000001,140.545536099999993,462335.476,4644027.676
11,F11,41.947666669999997,140.545972199999994,462367.778,4644059.150
12,F12,41.945850000000000,140.546161100000006,462370.014,4643865.710
13,F13,41.947755559999997,140.546569400000010,462414.409,4644086.110
14,F14,41.948186110000002,140.547050000000013,462457.300,4644122.612
15,F15,41.948577780000001,140.547744399999999,462513.137,4644172.580
16,F18,,,462227.802,4643588.202
17,F15,,,462128.156,4643934.924
18,F16,,,462168.836,4643908.631
,F20,,,462224.489,4643573.293
19,F19,,,462359.578,4643843.678
